sourceID,sourceAct,targetID,targetAct,relation
123,Open and read file,17,Get call records,
17,Get call records,124,Write to the local file,
16,Get the contact information,124,Write to the local file,
148,Check the optimized status of the battery,149,Ignore battery optimization,
156,Check host,157,Load network resource files,
157,Load network resource files,158,Download the resource file,
26,Monitor the screen on/off,22,Hide icon,
22,Hide icon,160,Push advertising,
163,Obtain installation package information,164,Read the zip file and install it,
